Darija (Arabic),Darija (Arabizi),Arabic Standard,English
,,هل اسمتعت بوقتك في رحلتك إلى لندن؟,Did you have a good time on your trip to London?
,,لا تتحدى من ليس لديه ما يخسره.,Don't challenge someone who has nothing to lose.
,,حفظ جميع من في الصف القصيدة عن ظهر قلب.,Everyone in the class learned the poem by heart.
,,اذهب إلى الكنيسة مع والديك وادعُ لها.,Go to church with your parents and pray for her.
,,اذهب إلى الكنيسة مع والديك وصلّ لها.,Go to church with your parents and pray for her.
,,هو لديه عادة أن يمشي كل صباح.,He makes it a rule to take a walk every morning.
,,أخرج من وظيفته إلى أن يجدوا مزيدا من الأعمال.,He was laid off until there was more work to do.
,,كم من الوقت استغرقك لتترجم هذا الكتاب؟,How long did it take you to translate this book?
,,كم يوماً تحتاج عادةً للوصول إلى هناك؟,How many days does it usually take to get there?
,,كم ثمن السيارة اللتي تنوي أن تشتريها؟,How much is the car that you're planning to buy?
,,أنا على ثقة من أن هذا الكتاب سيكون ذا فائدة عظيمة لك.,I am sure this book will be of great use to you.
,,أنا لا أستطيع شكرك بما يكفي على كل لطفك.,I cannot thank you enough for all your kindness.
,,لم أُرِد أن أقول أي شيء في وجود توم.,I didn't want to say anything in Tom's presence.
,,من العسير علي أن أصحو باكراً في الايام الباردة .,I find it hard to get up early on cold mornings.
,,لقد وجدت الفندق مزدحم بالسياح الاجانب .,I found the hotel crowded with foreign tourists.
,,سمعت صوت اصطدام حوالي العاشرة ليلة الأمس.,I heard a crash at about ten o'clock last night.
,,أنا نظرت في أعيُن توم وأخبرتةُ الحقيقة.,I looked Tom in the eyes and told him the truth.
,,لم أرغب أبداً أن تتورط فى هذهِ الفوضىَ.,I never wanted you to get involved in this mess.
,,أذكر أني سمعت قصة مشابهة.,I remember hearing a very similar story to that.
,,أرى أن هذا المعجم مفيد للمبتدئين.,I think this dictionary is useful for beginners.
,,أتمنى أن تتوقف عن تشغيل تلك الموسيقى الغبية.,I wish she would stop playing that stupid music.
,,أنا لستُ راضياً عن جودةِ عملكَ.,I'm not satisfied with the quality of your work.
,,أنا حقاً أتتطلع لحفلة الليلة.,I'm really looking forward to tonight's concert.
,,سئمت من سماع نفس الموشّح دائمًا.,I'm sick of hearing the same thing all the time.
,,أعتذر عن ما سببته لك من متاعب.,I'm sorry to have caused you such inconvenience.
,,متأكد أن توم لن يفعل شيئا كهذا.,I'm sure Tom would never do something like that.
,,سيقتلني توم إن عرف أنّي قلتُ لكَ هذا.,"If Tom finds out I told you this, he'll kill me."
,,سيقتلني توم إن عرف أنّي قلتُ لكِ هذا.,"If Tom finds out I told you this, he'll kill me."
,,يستحيل إنهاء التقرير في أسبوع.,It is impossible to finish the report in a week.
,,يستحيل إنهاء التقرير في غضون أسبوع.,It is impossible to finish the report in a week.
,,أصبحت اليابان أمة قوية إقتصاديا.,Japan has economically become a powerful nation.
,,"لا يهم ما تفعله, يجب عليك أن تفعل أفضل ما لديك.","No matter what you do, you have to do your best."
,,إعذرني لأني لم أكتب أبكر.,Please forgive me for not having written sooner.
,,الرجاء ابلاغي عن أي تغيير في حالته.,Please inform me of any change in his condition.
,,روبِنسون رجل عملي، وعقلاني، شجاع.,"Robinson is a practical, rational and brave man."
,,الشاب الذي كان هنا أعطاني هذه لك.,That guy who was just here gave me this for you.
,,أشرق وجه الطفل حين رأى بابا نويل.,The child's face glowed when he saw Santa Claus.
,,قوة الريح جعلت المشي صعباً.,The force of the wind made it difficult to walk.
,,ربط الخاطفون يدي توم خلف ظهره.,The kidnappers tied Tom's hands behind his back.
,,الشيء الوحيد الثابت في هذا العالم هو التغيير.,The only thing constant in this world is change.
,,كره أهل بوسطن الجنود البريطانيين.,The people of Boston hated the British soldiers.
,,المشكلة أن الطاقة الشمسية تكلف كثيرا.,The problem is that solar energy costs too much.
,,لا فائدة من البكاء، فلن يسمعك أحد.,There is no use in crying. No one will hear you.
,,كان هناك قليل من الحليب المتبقي في الزجاجة.,There was only a little milk left in the bottle.
,,هناك نافورة ماء للشرب قرب ملعب التنس.,There's a drinking fountain by the tennis court.
,,عادةً ما يذهبون إلى المدرسة من الاثنين الى الجمعة.,They usually go to school from Monday to Friday.
,,يصعب عليّ جدا أن أفهم هذا الكتاب.,This book is too difficult for me to understand.
,,هذه أول مرة أقرأ فيها الكتاب المقدس.,This is the first time for me to read the Bible.
,,طارت الحمامة من سان فرنسيسكو إلى نيويورك.,This pigeon flew from San Francisco to New York.
,,لم يكن على توم إخباري، لكني مسرورة لأنه فعل.,"Tom didn't have to tell me, but I'm glad he did."
,,لايبدو أن توم يريد الذهاب للفراش الآن,Tom doesn't seem to want to go to bed right now.
,,أدرك توم بأنه لا يستطيع الدراسة إن كان التلفاز يعمل.,Tom found that he couldn't study with the TV on.
,,تظاهر توم بأنه يجهل ما كان يحدث.,Tom pretended he didn't know what was happening.
,,لقد أمضى توم 3 أعوام في السجن جزاءاَ لما قام به,Tom spent three years in prison for what he did.
,,أخبر توم ماري بأنها لا يجب أن تذهب إلى هناك بمفردها.,Tom told Mary that she shouldn't go there alone.
,,ترجم الجمل الآتية إلى اليابانية.,Translate the following sentences into Japanese.
,,لا نسطيع رؤية الأشعّة فوق البنفسجيّة، لكنّ الحشرات تستطيع أن تراها.,"We can't see ultraviolet light, but insects can."
,,متى غادرت منزلك صباح اليوم؟,What time did you leave your house this morning?
,,ماذا كنتَ ستفعلُ لو كنت أصغر بعشر سنين؟,What would you do if you were ten years younger?
,,ماذا كنتِ ستفعلينَ لو كُنتِ أصغر بعشر سنين؟,What would you do if you were ten years younger?
,,لماذا قد يكون أخذ صور للقطارات مثيرًا؟,Why is taking pictures of trains so interesting?
,,ستتفاجئ حين ترى ما تستطيع تعلمه في أسبوع.,You'd be surprised what you can learn in a week.
,,لست كبيرا بما يكفي لتحصل علي رخصة قيادة.,You're not old enough to get a driver's license.
,,هل إستلمتَ الرسالة التي أرسلتها لكَ بالأمس؟,Did you receive the message I sent you yesterday?
,,هل تذكر اليوم الذي تقابلنا فيه أنا وأنت أول مرة؟,Do you remember the day when you and I first met?
,,إنه لا يقصد أن يعامل الآخرين بقسوة. إنها طبيعته فحسب.,He doesn't mean to be mean. It's just his nature.
,,أوافقك الرأي أن الممثل موهوب جدا.,I agree with you that the actor is very talented.
,,أحمل معي قنينة مياه معدنيّة دومًا.,I always carry a bottle of mineral water with me.
,,اتصلت بصديقي بعد أن وصلتُ إلى المحطة.,I called my friend after arriving at the station.
,,لا يمكنني فهم ما تعنيه هذه الجملة بالضبط.,I can't get at the exact meaning of the sentence.
,,لم أعلم بأنه كان على توم فعل ذلك بنفسه.,I didn't know that Tom had to do that by himself.
,,يراودني إحساسٌ بأنّي قابلتُ ذاك الفتى سابقًا.,I have the feeling that I've met that guy before.
